prefecture,municipality,url,system_type,kaigiroku_tenant
山形県,小国町議会,https://www.town.oguni.yamagata.dbsr.jp/index.php/,dbsr,
山形県,庄内町議会,https://ssp.kaigiroku.net/tenant/shounai/SpMinuteSearch.html,kaigiroku_ssp,shounai
福島県,福島県議会,https://ssp.kaigiroku.net/tenant/fukushima/SpMinuteSearch.html,kaigiroku_ssp,fukushima
福島県,福島市議会,https://www.city.fukushima.fukushima.jp/voices/g07v_search.asp,other,
福島県,福島市議会,https://www.city.fukushima.fukushima.jp/voices2/,other,
福島県,会津若松市議会,https://ssp.kaigiroku.net/tenant/aizuwakamatsu/SpMinuteSearch.html,kaigiroku_ssp,aizuwakamatsu
福島県,郡山市議会,https://ssp.kaigiroku.net/tenant/koriyama/SpMinuteSearch.html,kaigiroku_ssp,koriyama
福島県,郡山市議会,https://ssp.kaigiroku.net/tenant/koriyama/MinuteSearch.html,kaigiroku_ssp,koriyama
福島県,いわき市議会,https://ssp.kaigiroku.net/tenant/iwaki/SpMinuteSearch.html,kaigiroku_ssp,iwaki
福島県,白河市議会,https://ssp.kaigiroku.net/tenant/shirakawa/SpMinuteSearch.html,kaigiroku_ssp,shirakawa
福島県,須賀川市議会,http://gikai.city.sukagawa.fukushima.jp/voices/g07v_search.asp,other,
福島県,須賀川市議会,http://gikai.city.sukagawa.fukushima.jp/voices2/,other,
福島県,喜多方市議会,https://www.city.kitakata.fukushima.dbsr.jp/index.php/,dbsr,
福島県,相馬市議会,https://ssp.kaigiroku.net/tenant/soma/SpMinuteSearch.html,kaigiroku_ssp,soma
福島県,二本松市議会,https://ssp.kaigiroku.net/tenant/nihonmatsu/SpMinuteSearch.html,kaigiroku_ssp,nihonmatsu
福島県,田村市議会,https://ssp.kaigiroku.net/tenant/tamura/MinuteSearch.html,kaigiroku_ssp,tamura
福島県,南相馬市議会,https://ssp.kaigiroku.net/tenant/minamisoma/MinuteSearch.html,kaigiroku_ssp,minamisoma
福島県,伊達市議会,https://ssp.kaigiroku.net/tenant/datecity/SpMinuteSearch.html,kaigiroku_ssp,datecity
福島県,本宮市議会,https://ssp.kaigiroku.net/tenant/motomiya/SpMinuteSearch.html,kaigiroku_ssp,motomiya
福島県,桑折町議会,https://www.town.koori.fukushima.dbsr.jp/index.php/,dbsr,
福島県,国見町議会,https://ssp.kaigiroku.net/tenant/kunimi/SpMinuteSearch.html,kaigiroku_ssp,kunimi
福島県,川俣町議会,http://www.kensakusystem.jp/kawamata/index.html,kensakusystem,
福島県,泉崎村議会,https://ssp.kaigiroku.net/tenant/izumizaki/SpMinuteSearch.html,kaigiroku_ssp,izumizaki
福島県,中島村議会,https://ssp.kaigiroku.net/tenant/nakajima/SpMinuteSearch.html,kaigiroku_ssp,nakajima
福島県,棚倉町議会,https://ssp.kaigiroku.net/tenant/tanagura/SpMinuteSearch.html,kaigiroku_ssp,tanagura
福島県,矢祭町議会,https://ssp.kaigiroku.net/tenant/yamatsuri/MinuteSearch.html,kaigiroku_ssp,yamatsuri
福島県,塙町議会,https://ssp.kaigiroku.net/tenant/hanawa/SpMinuteSearch.html,kaigiroku_ssp,hanawa
福島県,石川町議会,http://www.town.ishikawa.fukushima.dbsr.jp/index.php/,dbsr,
福島県,平田村議会,https://ssp.kaigiroku.net/tenant/hirata/SpMinuteSearch.html,kaigiroku_ssp,hirata
福島県,川内村議会,https://ssp.kaigiroku.net/tenant/kawauchi/SpMinuteSearch.html,kaigiroku_ssp,kawauchi
茨城県,茨城県議会,https://www.pref.ibaraki.dbsr.jp/index.php/,dbsr,
茨城県,水戸市議会,https://ssp.kaigiroku.net/tenant/mito/SpMinuteSearch.html,kaigiroku_ssp,mito
茨城県,日立市議会,http://www.city.hitachi.ibaraki.dbsr.jp/index.php/,dbsr,
茨城県,土浦市議会,https://ssp.kaigiroku.net/tenant/tsuchiura/MinuteSearch.html,kaigiroku_ssp,tsuchiura
茨城県,土浦市議会,https://ssp.kaigiroku.net/tenant/tsuchiura/SpMinuteSearch.html,kaigiroku_ssp,tsuchiura
茨城県,古河市議会,https://ssp.kaigiroku.net/tenant/koga/MinuteSearch.html,kaigiroku_ssp,koga
茨城県,古河市議会,https://ssp.kaigiroku.net/tenant/koga/SpMinuteSearch.html,kaigiroku_ssp,koga
茨城県,石岡市議会,http://www.city.ishioka.ibaraki.dbsr.jp/index.php/,dbsr,
茨城県,結城市議会,https://ssp.kaigiroku.net/tenant/yuki/MinuteSearch.html,kaigiroku_ssp,yuki
茨城県,結城市議会,https://ssp.kaigiroku.net/tenant/yuki/SpMinuteSearch.html,kaigiroku_ssp,yuki
茨城県,龍ケ崎市議会,https://ssp.kaigiroku.net/tenant/ryugasaki/SpMinuteSearch.html,kaigiroku_ssp,ryugasaki
茨城県,下妻市議会,http://www.kensakusystem.jp/shimotsuma/index.html,kensakusystem,
茨城県,常総市議会,http://www.city.joso.ibaraki.dbsr.jp/index.php/,dbsr,
茨城県,高萩市議会,https://ssp.kaigiroku.net/tenant/takahagi/MinuteSearch.html,kaigiroku_ssp,takahagi
茨城県,北茨城市議会,https://ssp.kaigiroku.net/tenant/kitaibaraki/MinuteSearch.html,kaigiroku_ssp,kitaibaraki
茨城県,笠間市議会,http://kasama.gijiroku.com/voices/g08v_search.asp,gijiroku_com,
茨城県,笠間市議会,http://kasama.gijiroku.com/voices2/,gijiroku_com,
茨城県,取手市議会,http://ami-search.amivoice.com/toride/usr/,other,
茨城県,つくば市議会,http://tsukuba.gijiroku.com/voices/g08v_search.asp,gijiroku_com,
茨城県,ひたちなか市議会,http://hitachinaka.gijiroku.com/voices/g08v_search.asp,gijiroku_com,
茨城県,鹿嶋市議会,https://ssp.kaigiroku.net/tenant/kashima/SpMinuteSearch.html,kaigiroku_ssp,kashima
茨城県,潮来市議会,https://ssp.kaigiroku.net/tenant/itako/SpMinuteSearch.html,kaigiroku_ssp,itako
茨城県,守谷市議会,http://moriya.gijiroku.com/voices/g08v_search.asp,gijiroku_com,
茨城県,守谷市議会,http://moriya.gijiroku.com/voices2/,gijiroku_com,
茨城県,常陸大宮市議会,https://ssp.kaigiroku.net/tenant/hitachiomiya/SpMinuteSearch.html,kaigiroku_ssp,hitachiomiya
茨城県,筑西市議会,https://ssp.kaigiroku.net/tenant/chikusei/MinuteSearch.html,kaigiroku_ssp,chikusei
茨城県,筑西市議会,https://ssp.kaigiroku.net/tenant/chikusei/SpMinuteSearch.html,kaigiroku_ssp,chikusei
茨城県,坂東市議会,https://ssp.kaigiroku.net/tenant/bando/SpMinuteSearch.html,kaigiroku_ssp,bando
茨城県,稲敷市議会,http://inashiki.gijiroku.com/voices/g08v_search.asp,gijiroku_com,
茨城県,稲敷市議会,http://inashiki.gijiroku.com/voices2/,gijiroku_com,
茨城県,かすみがうら市議会,https://ssp.kaigiroku.net/tenant/kasumigaura/SpMinuteSearch.html,kaigiroku_ssp,kasumigaura
茨城県,神栖市議会,https://ssp.kaigiroku.net/tenant/kamisu/SpMinuteSearch.html,kaigiroku_ssp,kamisu
茨城県,行方市議会,https://ssp.kaigiroku.net/tenant/namegata/SpMinuteSearch.html,kaigiroku_ssp,namegata
茨城県,鉾田市議会,https://ssp.kaigiroku.net/tenant/hokota/MinuteSearch.html,kaigiroku_ssp,hokota
茨城県,鉾田市議会,https://ssp.kaigiroku.net/tenant/hokota/SpMinuteSearch.html,kaigiroku_ssp,hokota
茨城県,つくばみらい市議会,http://tsukubamirai.gijiroku.com/voices/g08v_search.asp,gijiroku_com,
茨城県,つくばみらい市議会,http://tsukubamirai.gijiroku.com/voices2/,gijiroku_com,
茨城県,小美玉市議会,https://ssp.kaigiroku.net/tenant/omitama/SpMinuteSearch.html,kaigiroku_ssp,omitama
茨城県,茨城町議会,https://ssp.kaigiroku.net/tenant/ibaraki/SpMinuteSearch.html,kaigiroku_ssp,ibaraki
茨城県,東海村議会,https://ssp.kaigiroku.net/tenant/tokai/SpMinuteSearch.html,kaigiroku_ssp,tokai
茨城県,大子町議会,https://ssp.kaigiroku.net/tenant/daigo/SpMinuteSearch.html,kaigiroku_ssp,daigo
栃木県,栃木県議会,http://pref-tochigi.gijiroku.com/voices/g07v_search.asp?Sflg=2,gijiroku_com,
栃木県,栃木県議会,http://pref-tochigi.gijiroku.com/voices2/,gijiroku_com,
栃木県,宇都宮市議会,http://www.kensakusystem.jp/utsunomiya/index.html,kensakusystem,
栃木県,足利市議会,https://ssp.kaigiroku.net/tenant/ashikaga/MinuteSearch.html,kaigiroku_ssp,ashikaga
栃木県,足利市議会,https://ssp.kaigiroku.net/tenant/ashikaga/SpMinuteSearch.html,kaigiroku_ssp,ashikaga
栃木県,栃木市議会,https://ssp.kaigiroku.net/tenant/tochigi/MinuteSearch.html,kaigiroku_ssp,tochigi
栃木県,栃木市議会,https://ssp.kaigiroku.net/tenant/tochigi/SpMinuteSearch.html,kaigiroku_ssp,tochigi
栃木県,佐野市議会,https://ssp.kaigiroku.net/tenant/sano/MinuteSearch.html,kaigiroku_ssp,sano
栃木県,佐野市議会,https://ssp.kaigiroku.net/tenant/sano/SpMinuteSearch.html,kaigiroku_ssp,sano
