tenant,keyword,meeting,date,hits_in_meeting,minute_url
ishinomaki,ストーマ,令和　２年　第４回　定例会,12月17日－一般質問－06号,1,https://ssp.kaigiroku.net/tenant/ishinomaki/MinuteView.html?council_id=314&schedule_id=7&is_search=true
ishinomaki,オストメイト,令和　２年　第４回　定例会,12月14日－一般質問－03号,1,https://ssp.kaigiroku.net/tenant/ishinomaki/MinuteView.html?council_id=314&schedule_id=4&is_search=true
ishinomaki,オストメイト,令和　２年　　産業建設委員会,06月11日－04号,1,
higashimatsushima,ストーマ,平成１７年　　決算審査特別委員会,10月03日－06号,1,https://ssp.kaigiroku.net/tenant/higashimatsushima/MinuteView.html?council_id=9&schedule_id=7&is_search=true
higashimatsushima,オストメイト,令和　７年　１２月定例会（第４回）,12月17日－一般質問－04号,1,https://ssp.kaigiroku.net/tenant/higashimatsushima/MinuteView.html?council_id=345&schedule_id=4&is_search=true
oosaki,ストーマ,令和　５年　　民生常任委員会,02月01日－01号,1,https://ssp.kaigiroku.net/tenant/oosaki/MinuteView.html?council_id=307&schedule_id=3&is_search=true
oosaki,オストメイト,令和　７年　　総務常任委員会,10月08日－01号,1,https://ssp.kaigiroku.net/tenant/oosaki/MinuteView.html?council_id=337&schedule_id=10&is_search=true
prefakita,ストーマ,令和４年　第１回定例会,02月22日－04号,3,https://ssp.kaigiroku.net/tenant/prefakita/MinuteView.html?council_id=1813&schedule_id=5&is_search=true
prefakita,オストメイト,令和４年　第１回定例会,02月22日－04号,3,https://ssp.kaigiroku.net/tenant/prefakita/MinuteView.html?council_id=1813&schedule_id=5&is_search=true
noshiro,ストーマ,平成１８年　　９月　定例会,09月12日－03号,1,https://ssp.kaigiroku.net/tenant/noshiro/MinuteView.html?council_id=78&schedule_id=4&is_search=true
noshiro,オストメイト,平成２５年　　９月　定例会,09月20日－05号,1,https://ssp.kaigiroku.net/tenant/noshiro/MinuteView.html?council_id=120&schedule_id=6&is_search=true
oga,オストメイト,平成２５年　　９月　定例会,09月10日－02号,1,https://ssp.kaigiroku.net/tenant/oga/MinuteView.html?council_id=59&schedule_id=3&is_search=true
yuzawa,ストーマ,平成２９年　　６月　定例会（第２回）,06月09日－03号,5,https://ssp.kaigiroku.net/tenant/yuzawa/MinuteView.html?council_id=68&schedule_id=4&is_search=true
yuzawa,オストメイト,令和　４年　　９月　定例会（第３回）,09月08日－04号,1,https://ssp.kaigiroku.net/tenant/yuzawa/MinuteView.html?council_id=105&schedule_id=5&is_search=true
yurihonjo,ストーマ,令和　４年　　９月　定例会,08月30日－03号,1,https://ssp.kaigiroku.net/tenant/yurihonjo/MinuteView.html?council_id=122&schedule_id=3&is_search=true
yurihonjo,オストメイト,令和　６年　　３月　定例会,03月07日－03号,2,https://ssp.kaigiroku.net/tenant/yurihonjo/MinuteView.html?council_id=131&schedule_id=3&is_search=true
kitaakita,ストーマ,令和　７年　　９月　定例会,09月08日－03号,1,https://ssp.kaigiroku.net/tenant/kitaakita/MinuteView.html?council_id=110&schedule_id=4&is_search=true
kitaakita,オストメイト,令和　７年　　９月　定例会,09月08日－03号,3,https://ssp.kaigiroku.net/tenant/kitaakita/MinuteView.html?council_id=110&schedule_id=4&is_search=true
semboku,オストメイト,平成３０年　　９月　定例会,09月11日－02号,1,https://ssp.kaigiroku.net/tenant/semboku/MinuteView.html?council_id=87&schedule_id=3&is_search=true
tsuruoka,ストーマ,令和　　７年　　３月　予算特別委員会,03月11日－02号,1,https://ssp.kaigiroku.net/tenant/tsuruoka/MinuteView.html?council_id=298&schedule_id=3&is_search=true
tsuruoka,ストーマ,令和　　７年　　３月　定例会,03月04日－01号,1,
tsuruoka,オストメイト,令和　　６年　１２月　定例会,12月05日－02号,3,https://ssp.kaigiroku.net/tenant/tsuruoka/MinuteView.html?council_id=283&schedule_id=3&is_search=true
tsuruoka,蓄便袋,令和　　６年　１２月　定例会,12月05日－02号,2,https://ssp.kaigiroku.net/tenant/tsuruoka/MinuteView.html?council_id=283&schedule_id=3&is_search=true
tsuruoka,蓄尿袋,令和　　６年　１２月　定例会,12月05日－02号,2,https://ssp.kaigiroku.net/tenant/tsuruoka/MinuteView.html?council_id=283&schedule_id=3&is_search=true
sakata,ストーマ,令和　８年　　３月　定例議会（第４回）,02月27日－02号,1,https://ssp.kaigiroku.net/tenant/sakata/MinuteView.html?council_id=146&schedule_id=3&is_search=true
